"AEROPUERTOS";;"Total"
;;
ADOLFO SUÁREZ MADRID-BARAJAS;;17.112.389
BARCELONA-EL PRAT J.T.;;12.739.259
PALMA DE MALLORCA;;6.108.486
MALAGA-COSTA DEL SOL;;5.161.636
GRAN CANARIA;;5.134.372
ALICANTE-ELCHE;;3.739.499
TENERIFE-SUR;;3.392.329
TENERIFE NORTE-C. LA LAGUNA;;2.795.952
LANZAROTE-CESAR MANRIQUE;;2.538.338
VALENCIA;;2.487.496
SEVILLA;;2.315.610
FUERTEVENTURA;;2.144.178
IBIZA;;2.110.348
BILBAO;;1.690.011
MENORCA;;1.076.952
SANTIAGO-ROSALÍA DE CASTRO;;935.394
LA PALMA;;721.337
ASTURIAS;;498.950
A CORUÑA;;436.775
FGL GRANADA-JAEN;;390.218
SEVE BALLESTEROS-SANTANDER;;335.280
VIGO;;303.466
AEROPUERTO INTL. REGIÓN MURCIA  (*);;217.912
JEREZ DE LA FRONTERA;;216.319
ALMERIA;;200.302
MELILLA;;195.636
EL HIERRO;;178.526
ZARAGOZA;;172.344
GIRONA-COSTA BRAVA;;172.213
PAMPLONA;;84.059
SAN SEBASTIAN;;83.869
VALLADOLID;;71.685
LA GOMERA;;54.388
VITORIA;;45.359
CEUTA-HELIPUERTO;;41.217
REUS;;39.460
BADAJOZ;;29.988
BURGOS;;23.528
ALGECIRAS-HELIPUERTO;;23.516
LEON;;18.600
CORDOBA;;7.882
LOGROÑO;;4.389
SABADELL;;3.439
SON BONET;;3.281
SALAMANCA;;2.350
ALBACETE;;2.204
MADRID-CUATRO VIENTOS;;1.872
HUESCA-PIRINEOS;;1.709